Feature,PortSiz,NormPress,ConSize,PressNum,X,Y
Water Hydrant,6,124,6,550-006,503277.73,5449743
Water Hydrant,6,76,6,425+-007,503540.73,5449707.73
Water Hydrant,6,120,6,550-010,503416.09,5449846.23
Water Hydrant,6,74,6,425+-006,503681.6982,5449824.4436
Water Hydrant,6,78,6,425+-009,503745.46,5449750.37
Water Hydrant,6,108,6,425+-019,503992.97,5449735.01
Water Hydrant,6,88,6,425+-005,503915.35,5449828.56
Water Hydrant,6,126,6,425+-025,504268.12,5449762.94
Water Hydrant,6,110,6,425+-018,504180.5,5449823.46
Water Hydrant,6,140,6,425+-024,504457.06,5449834.7
Water Hydrant,6,,6,350E-087,505351.146,5449728.7366
Water Hydrant,6,116,6,350E-068,505514.9216,5449713.3275
Water Hydrant,6,114,6,350E-028,505841.37,5449773.28
Water Hydrant,6,114,6,350E-027,506093.57,5449716.17
Water Hydrant,6,114,6,350E-039,506141.92,5449781.16
Water Hydrant,6,114,6,350E-053,506319.68,5449704.84
Water Hydrant,6,116,6,350E-052,506470.71,5449748.69
Water Hydrant,6,116,6,350E-023,506442.3544,5449846.4528
Water Hydrant,6,115,6,350E-011,506600.99,5449824.12
Water Hydrant,6,140,6,550-002,502994.69,5449856.04
Water Hydrant,6,104,6,550-003,503115.76,5449936.33
Water Hydrant,6,108,6,550-004,503164.78,5449875.17
Water Hydrant,6,114,6,550-009,503315.35,5449983.01
Water Hydrant,6,118,6,550-014,503562.99,5449967.72
Water Hydrant,6,126,4,550-015,503622.09,5449897.08
Water Hydrant,6,70,6,425+-010,503827.55,5449934.94
Water Hydrant,6,144,6,550-022,503970.54,5449909.22
Water Hydrant,6,72,6,425+-004,504072.89,5449983.29
Water Hydrant,6,108,6,425+-017,504343.83,5449958.3
Water Hydrant,6,142,6,425+-023,504617.1245,5449925.5123
Water Hydrant,6,114,6,350E-046,505238.323,5449872.1691
Water Hydrant,6,114,6,350E-048,505372.51,5449954.69
Water Hydrant,6,116,6,350E-044,505615.8,5449893.37
Water Hydrant,6,80,6,350E-042B,505727.29,5449936.69
Water Hydrant,6,112,6,350E-042,505774.17,5449879.94
Water Hydrant,6,104,6,350E-041B,505848.35,5449923.72
Water Hydrant,6,94,6,350E-041,506015.1,5449935.35
Water Hydrant,6,80,6,504E-027A,507210.224,5451991.1229
Water Hydrant,6,110,6,350W-082,503245.365,5447218.9307
Water Hydrant,6,,6,350W-083,503288.6417,5447164.8283
Water Hydrant,6,76,6,550-057A,504843.2668,5451311.9092
Water Hydrant,6,80,6,550-052A,504669.8879,5451295.6477
Water Hydrant,6,72,6,550-172,506429.4472,5452378.6294
Water Hydrant,6,126,6,550-008,503475.0909,5449778.7139
Water Hydrant,6,116,6,550-009A,503358.3306,5449914.1454
Water Hydrant,6,72,6,504W-075,504855.232,5450769.4403
Water Hydrant,4,108,,350W-045,504953.8217,5448847.5321
Water Hydrant,,,,550-088A,505857.4163,5451072.3854
Water Hydrant,,65,,410-006A,507701.7365,5453196.9377
