Feature,PortSiz,NormPress,ConSize,PressNum,X,Y
Water Hydrant,6,114,6,410-050,508562.71,5452788.38
Water Hydrant,6,114,6,410-051,508715.27,5452835.48
Water Hydrant,6,74,6,650-005,506598.64,5452879.78
Water Hydrant,6,76,6,650-020,506888.89,5452868.92
Water Hydrant,6,84,6,650-018,507050.72,5452987.55
Water Hydrant,6,98,6,650-014,507196.26,5452948.6
Water Hydrant,6,68,,504E-074,507353.4899,5452959.311
Water Hydrant,6,50,6,410-009,507611.2194,5452962.9199
Water Hydrant,6,64,6,410-008,507652.5088,5452864.6355
Water Hydrant,6,70,6,410-007,507802.8828,5452990.8396
Water Hydrant,6,70,6,410-020,507895.21,5452984.56
Water Hydrant,6,76,6,410-021,507979.77,5452998.66
Water Hydrant,6,82,6,410-022,508083.06,5452981.42
Water Hydrant,6,114,6,410-034,508378.01,5452978.46
Water Hydrant,6,114,6,410-052,508777.69,5452920.21
Water Hydrant,6,114,6,410-053,508996.44,5452855.16
Water Hydrant,6,71,6,650-006,506840.77,5453077.2
Water Hydrant,6,93,6,650-016,507105.84,5453031.97
Water Hydrant,6,116,6,650-009,507285.18,5453026.01
Water Hydrant,6,94,6,650-015,507173.07,5453111.39
Water Hydrant,6,84,6,504E-073,507381.94,5453004.71
Water Hydrant,6,96,6,504E-050,507547,5453086.69
Water Hydrant,6,60,6,410-010,507657.0618,5453058.9846
Water Hydrant,6,128,6,650-030,508282.24,5453124.03
Water Hydrant,6,108,6,410-024,508271.13,5453002.8
Water Hydrant,6,114,6,410-033,508487.91,5453134.48
Water Hydrant,6,116,6,410-054A,508591.531,5453142.0336
Water Hydrant,6,78,6,650-007,506967.0098,5453187.8359
Water Hydrant,6,86,6,650-008,507042.2038,5453249.6535
Water Hydrant,6,120,6,650-015B,507288.26,5453226.616
Water Hydrant,6,106,6,650-015A,507220.51,5453193.45
Water Hydrant,6,82,6,504E-072,507385.57,5453214.99
Water Hydrant,6,88,6,504E-066,507489.91,5453287.26
Water Hydrant,6,100,6,504E-067,507537.6,5453222.13
Water Hydrant,6,68,6,410-005,507708.4,5453218.58
Water Hydrant,6,74,6,410-006,507795.53,5453214.9
Water Hydrant,6,72,6,410-031,507899.16,5453223.56
Water Hydrant,6,78,6,410-030,507988.01,5453210.31
Water Hydrant,6,82,6,410-027,508082.49,5453208.75
Water Hydrant,6,128,6,650-029,508286.85,5453243.19
Water Hydrant,6,98,6,410-025,508201.52,5453206.79
Water Hydrant,6,116,6,410-055,508375.73,5453203.88
Water Hydrant,6,94,6,650-008A,507124.198,5453317.0622
Water Hydrant,6,112,6,650-008B,507227.8466,5453402.2722
Water Hydrant,6,82,6,504E-071,507387.5,5453328.13
Water Hydrant,6,102,6,504E-065,507492.76,5453449.67
Water Hydrant,6,,6,350W-091,505401.2353,5449104.2772
Water Hydrant,6,,6,350W-092,505449.331,5449028.8073
Water Hydrant,6,,6,350W-093,505509.8064,5448933.9118
Water Hydrant,6,,6,350W-095,505476.7122,5449139.351
Water Hydrant,6,,6,350W-096,505523.5186,5449065.9042
Water Hydrant,6,,6,350W-097,505568.0645,5448996.0044
Water Hydrant,6,,6,350W-094,505499.4434,5448901.9143
Water Hydrant,6,,6,350W-098,505630.3377,5449069.4801
Water Hydrant,6,,6,350W-099,505621.0724,5449135.233
Water Hydrant,6,,6,350W-100,505544.6177,5449187.5835
Water Hydrant,6,110,6,350E-040,506095.9724,5449852.3598
Water Hydrant,6,100,6,350E-038,506367.88,5449941.38
Water Hydrant,6,110,6,350E-025,506295.75,5449873.68
Water Hydrant,6,112,6,350E-022,506522.21,5449913.46
Water Hydrant,6,116,6,350E-026,506409.4028,5449886.3991
Water Hydrant,6,96,6,350E-037A,506464.145,5449983.7878
Water Hydrant,6,80,6,504E-070,507351.07,5453502.33
Water Hydrant,6,94,6,550-148,506634.5,5450727.25
Water Hydrant,6,76,6,504W-019,506823.5399,5450741.5516
Water Hydrant,6,98,6,504W-008,507012.74,5450610.91
Water Hydrant,6,104,6,504W-007,507148,5450732.18
Water Hydrant,6,124,6,504W-003,507273.32,5450666.75
Water Hydrant,6,,6,350E-003,507377.9,5450607.25
Water Hydrant,6,72,6,550-036,504065.49,5450789.07
Water Hydrant,6,70,6,550-040,504191.81,5450888.78
Water Hydrant,6,80,6,550-042,504431.94,5450851.06
Water Hydrant,6,84,6,550-047,504604.65,5450845.2
Water Hydrant,6,96,6,550-048,504691.95,5450779.42
Water Hydrant,6,100,6,550-049,504803.4055,5450853.5919
Water Hydrant,6,94,6,550-061,504999.97,5450888.59
Water Hydrant,6,70,6,504W-070,505060.81,5450783.17
Water Hydrant,6,72,6,504W-061,505325.72,5450771.08
Water Hydrant,6,68,6,504W-042,505432.84,5450837.45
Water Hydrant,6,64,6,504W-043,505643.46,5450782.46
Water Hydrant,6,88,6,550-083,505747.53,5450859.72
Water Hydrant,6,84,6,550-084,505814.28,5450771.17
Water Hydrant,6,80,6,550-086,505957.19,5450754.76
Water Hydrant,6,72,6,550-085,506062.2068,5450824.6563
Water Hydrant,6,72,6,550-138,506233.9612,5450806.2251
Water Hydrant,6,80,6,550-139,506310.68,5450757.56
